Subfamily,Absidia_glauca_gca_900079185.AG_v1.pep.all,Absidia_repens_gca_002105175.Absrep1.pep.all,Acaromyces_ingoldii_gca_003144295.Acain1.pep.all,Acidomyces_richmondensis_bfw_gca_001592465.Acidomyces_richmondensis_BFW_v1.0.pep.all,Acidomyces_richmondensis_gca_001572075.ASM157207v1.pep.all,Agaricus_bisporus_var_burnettii_jb137_s8_gca_000300555.Agabi_varbur_1.pep.all,Alternaria_alternata_gca_001642055.Altal1.pep.all,Amorphotheca_resinae_atcc_22711_gca_003019875.Amore1.pep.all,Aspergillus_indologenus_cbs_114_80_gca_003184685.Aspind1.pep.all,Aspergillus_japonicus_cbs_114_51_gca_003184785.Aspjap1.pep.all,1764.11.PATRIC,1770.10.PATRIC,1770.19.PATRIC,1770.39.PATRIC,1770.9.PATRIC,1767.10.PATRIC,1767.9.PATRIC,1765.277.PATRIC,1765.319.PATRIC,1765.321.PATRIC,1765.323.PATRIC,1765.326.PATRIC,1766.6.PATRIC,1771.11.PATRIC,1772.10.PATRIC,1772.11.PATRIC,1772.19.PATRIC,1773.225.PATRIC,1773.232.PATRIC,1773.226.PATRIC,1773.228.PATRIC,1773.229.PATRIC,1773.230.PATRIC,1773.231.PATRIC,1773.233.PATRIC,1773.234.PATRIC,1773.235.PATRIC,1773.236.PATRIC,1773.237.PATRIC,1773.238.PATRIC,1773.239.PATRIC,1773.240.PATRIC,1773.241.PATRIC,1773.242.PATRIC,1773.243.PATRIC,1773.244.PATRIC,1773.245.PATRIC,1773.246.PATRIC,1773.247.PATRIC,1773.249.PATRIC,1773.250.PATRIC,1773.251.PATRIC,1773.31.PATRIC,1773.349.PATRIC,1773.248.PATRIC,1773.522.PATRIC,1773.554.PATRIC,1773.227.PATRIC,1773.523.PATRIC,1773.224.PATRIC
CYP1027B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CYP102B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CYP1034A,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CYP105Q,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CYP105S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CYP107AA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CYP107AB1P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CYP108B,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,0,0,0,0,0,2,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CYP121A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CYP123A,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,0,1,1
